region,arm,user_id_hash,chat_mode,locale,registered_at,sessions_total,sessions_completed,completion_rate,avg_audio_duration_s,cards_total,cards_per_session,avg_story_chars,turns_total,turns_per_session,user_chars_per_turn,interrupt_count,ptt_press_count,ptt_avg_ms,satisfaction_count,satisfaction_mean
cn,b,bda14977e027ca01,auto,zh,2026-04-19 02:16:02.393995+08,1,0,0,,0,0,,1,1,,0,0,,0,
cn,b,8473e40101539e87,auto,zh,2026-04-19 07:37:13.720548+08,6,4,0.667,97.7,4,0.67,157,70,11.67,45.9,33,43,9157,4,5
cn,a,c8e62ab6aabb8d38,auto,zh,2026-04-19 07:38:46.230487+08,3,2,0.667,74.3,2,0.67,163.5,33,11,44.6,1,0,,2,5
cn,b,6cb0dedf21e195f0,auto,zh,2026-04-19 07:50:13.874686+08,3,1,0.333,,1,0.33,151,22,7.33,38.1,10,10,8930,0,
cn,b,1253e53cc4983428,auto,zh,2026-04-19 09:51:34.198054+08,1,0,0,3,0,0,,1,1,,1,2,1511,0,
cn,b,924592dcebd3f93a,auto,zh,2026-04-19 10:18:27.3084+08,4,0,0,22.2,0,0,,4,1,,3,4,55593,0,
cn,b,2e72ec910200e47d,auto,zh,2026-04-19 10:50:54.444708+08,1,0,0,,0,0,,1,1,,1,6,1920,0,
cn,b,2b428dd1f73b51c0,auto,zh,2026-04-19 23:31:45.795374+08,1,0,0,,0,0,,1,1,,0,0,,0,
cn,a,e759bc44709cfb7b,auto,zh,2026-04-20 02:00:35.992011+08,1,1,1,126.9,1,1,229,13,13,90.3,4,0,,1,4
cn,b,063fdeb37f96694e,auto,zh,2026-04-20 02:12:39.439048+08,2,0,0,11.7,0,0,,2,1,,2,2,11775,1,4
